apportionment_label,effective_year,state_fips,state_abbr,state_name,house_seats,admitted,source_seat_version
Const.,1789,02,AK,Alaska,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,01,AL,Alabama,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,05,AR,Arkansas,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,04,AZ,Arizona,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,06,CA,California,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,08,CO,Colorado,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,09,CT,Connecticut,5,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,10,DE,Delaware,1,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,12,FL,Florida,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,13,GA,Georgia,3,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,15,HI,Hawaii,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,19,IA,Iowa,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,16,ID,Idaho,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,17,IL,Illinois,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,18,IN,Indiana,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,20,KS,Kansas,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,21,KY,Kentucky,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,22,LA,Louisiana,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,25,MA,Massachusetts,8,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,24,MD,Maryland,6,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,23,ME,Maine,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,26,MI,Michigan,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,27,MN,Minnesota,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,29,MO,Missouri,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,28,MS,Mississippi,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,30,MT,Montana,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,37,NC,North Carolina,5,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,38,ND,North Dakota,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,31,NE,Nebraska,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,33,NH,New Hampshire,3,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,34,NJ,New Jersey,4,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,35,NM,New Mexico,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,32,NV,Nevada,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,36,NY,New York,6,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,39,OH,Ohio,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,40,OK,Oklahoma,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,41,OR,Oregon,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,42,PA,Pennsylvania,8,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,44,RI,Rhode Island,1,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,45,SC,South Carolina,5,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,46,SD,South Dakota,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,47,TN,Tennessee,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,48,TX,Texas,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,49,UT,Utah,0,False,wikipedia-past-apportionments-2026-05-06
Const.,1789,51,VA,Virginia,10,True,wikipedia-past-apportionments-2026-05-06
Const.,1789,50,VT,Vermont,0,False,wikipedia-past-apportionments-2026-05-06
