GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,AG3001,AHF001
"G010","1860","Alabama","010",,"Alabama","41","0",964201,48901
"G050","1860","Arkansas","050",,"Arkansas","42","0",435450,3727
"G060","1860","California","060",,"California","71","0",379994,78651
"G085","1860","Colorado Territory","085",,"Colorado Territory","62","0",34277,4749
"G090","1860","Connecticut","090",,"Connecticut","1","0",460147,122121
"G095","1860","Dakota Territory","095",,"Dakota Territory","37","0",4837,0
"G100","1860","Delaware","100",,"Delaware","11","0",112216,21258
"G110","1860","District Of Columbia","110",,"District of Columbia","98","0",75080,69855
"G120","1860","Florida","120",,"Florida","43","0",140424,5708
"G130","1860","Georgia","130",,"Georgia","44","0",1057286,75466
"G170","1860","Illinois","170",,"Illinois","21","0",1711951,245545
"G180","1860","Indiana","180",,"Indiana","22","0",1350428,115904
"G190","1860","Iowa","190",,"Iowa","31","0",674913,60028
"G205","1860","Kansas Territory","205",,"Kansas Territory","32","0",107206,10045
"G210","1860","Kentucky","210",,"Kentucky","51","0",1155684,120624
"G220","1860","Louisiana","220",,"Louisianna","45","0",708002,185026
"G230","1860","Maine","230",,"Maine","2","0",628279,104373
"G240","1860","Maryland","240",,"Maryland","52","0",687049,233300
"G250","1860","Massachusetts","250",,"Massachusetts","3","0",1231066,733209
"G260","1860","Michigan","260",,"Michigan","23","0",749113,99701
"G270","1860","Minnesota","270",,"Minnesota","33","0",172023,16223
"G280","1860","Mississippi","280",,"Mississippi","46","0",791305,20689
"G290","1860","Missouri","290",,"Missouri","34","0",1182012,203487
"G315","1860","Nebraska Territory","315",,"Nebraska Territory","35","0",28841,0
"G325","1860","Nevada Territory","325",,"Nevada Territory","65","0",6857,0
"G330","1860","New Hampshire","330",,"New Hampshire","4","0",326073,72038
"G340","1860","New Jersey","340",,"New Jersey","12","0",672035,219798
"G355","1860","New Mexico Territory","355",,"New Mexico Territory","66","0",93516,4635
"G360","1860","New York","360",,"New York","13","0",3880735,1524344
"G370","1860","North Carolina","370",,"North Carolina","47","0",992622,24554
"G390","1860","Ohio","390",,"Ohio","24","0",2339511,400435
"G410","1860","Oregon","410",,"Oregon","72","0",52465,2874
"G420","1860","Pennsylvania","420",,"Pennsylvania","14","0",2906215,894706
"G440","1860","Rhode Island","440",,"Rhode Island","5","0",174620,110535
"G450","1860","South Carolina","450",,"South Carolina","48","0",703708,48574
"G470","1860","Tennessee","470",,"Tennessee","54","0",1109801,46541
"G480","1860","Texas","480",,"Texas","49","0",604215,26615
"G495","1860","Utah Territory","495",,"Utah Territory","67","0",40273,8236
"G500","1860","Vermont","500",,"Vermont","6","0",315098,6213
"G510","1860","Virginia","510",,"Virginia","40","0",1596318,135956
"G535","1860","Washington Territory","535",,"Washington Territory","73","0",11594,0
"G550","1860","Wisconsin","550",,"Wisconsin","25","0",775881,111874
