GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,AAA001,AAK001
"G090","1790","Connecticut","90",,"Connecticut","1","0",237655,7170
"G100","1790","Delaware","100",,"Delaware","11","0",59096,0
"G130","1790","Georgia","130",,"Georgia","44","0",82548,0
"G240","1790","Maryland","240",,"Maryland","52","0",319728,13503
"G250","1790","Massachusetts","250",,"Massachusetts","3","0",475199,51202
"G330","1790","New Hampshire","330",,"New Hampshire","4","0",141899,4720
"G340","1790","New Jersey","340",,"New Jersey","12","0",184139,0
"G360","1790","New York","360",,"New York","13","0",340241,39213
"G370","1790","North Carolina","370",,"North Carolina","47","0",395005,0
"G420","1790","Pennsylvania","420",,"Pennsylvania","14","0",433611,44096
"G440","1790","Rhode Island","440",,"Rhode Island","5","0",69112,13096
"G450","1790","South Carolina","450",,"South Carolina","48","0",249073,16359
"G465","1790","Southwest Territory","465",,"Southwest Territory","54","0",35691,0
"G500","1790","Vermont","500",,"Vermont","6","0",85341,0
"G510","1790","Virginia","510",,"Virginia","40","0",821287,12296
