GISJOIN,YEAR,STATE,STATEA,COUNTYA,AREANAME,STATEICP,COUNTYICP,AA1001,AA4001
"G090","1810","Connecticut","090",,"Connecticut","1","0",262042,15941
"G100","1810","Delaware","100",,"Delaware","11","0",72674,0
"G110","1810","District Of Columbia","110",,"District of Columbia","98","0",24023,20383
"G130","1810","Georgia","130",,"Georgia","44","0",252433,5215
"G175","1810","Illinois Territory","175",,"Illinois Territory","21","0",12282,0
"G185","1810","Indiana Territory","185",,"Indiana Territory","22","0",24520,0
"G210","1810","Kentucky","210",,"Kentucky","51","0",406511,4326
"G225","1810","Louisiana Territory","225",,"Louisiana Territory","34","0",20845,0
"G240","1810","Maryland","240",,"Maryland","52","0",380546,46555
"G250","1810","Massachusetts","250",,"Massachusetts","2","0",700745,107786
"G265","1810","Michigan Territory","265",,"Michigan Territory","23","0",4762,0
"G285","1810","Mississippi Territory","285",,"Mississippi Territory","46","0",40352,0
"G330","1810","New Hampshire","330",,"New Hampshire","4","0",214360,6934
"G340","1810","New Jersey","340",,"New Jersey","12","0",245555,5979
"G360","1810","New York","360",,"New York","13","0",959049,121488
"G370","1810","North Carolina","370",,"North Carolina","47","0",555500,0
"G390","1810","Ohio","390",,"Ohio","24","0",230760,2540
"G417","1810","Orleans Territory","417",,"Orleans Territory","45","0",76556,17242
"G420","1810","Pennsylvania","420",,"Pennsylvania","14","0",810091,103785
"G440","1810","Rhode Island","440",,"Rhode Island","5","0",77031,17978
"G450","1810","South Carolina","450",,"South Carolina","48","0",415115,24711
"G470","1810","Tennessee","470",,"Tennessee","54","0",261727,0
"G500","1810","Vermont","500",,"Vermont","6","0",217713,0
"G510","1810","Virginia","510",,"Virginia","40","0",974622,24596
